item,quantity,expiry-date
Pale Ale,43,22/06/2025
Juice Formula,17,24/09/2028
Wine Formula,5,01/10/2026
Wild Honey,78,06/07/2024
Tulip Honey,64,27/05/2034
Blue Jazz Honey,67,04/06/2035
Spangle Honey,86,02/07/2024
Poppy Honey,74,04/06/2026
Fairy Rose Honey,90,15/09/2033
Pickles Formula,54,03/08/2029
Jelly Formula,77,24/05/2033
Mayonnaise,95,16/12/2024
Duck Mayonnaise,59,10/09/2024
Cheese,36,03/03/2026
Goat Cheese,92,31/12/2027
Truffle Oil,45,11/08/2028
Oil,93,10/04/2029
Maple Syrup,4,04/11/2033
Oak Resin,9,24/09/2031
Pine Tar,13,04/10/2035
Fried Egg,59,10/09/2033
Omelet,67,27/11/2026
Salad,82,01/01/2031
Cheese Califlower,90,03/11/2024
Baked Fish,99,20/09/2035
Parsnip Soup,72,22/06/2030
Vegetable Stew,22,09/11/2033
Complete Breakfast,86,27/07/2026
Fried Calamari,66,19/03/2025
Strange Bun,16,09/10/2034
Lucky Lunch,55,13/06/2028
Fried Mushroom,53,16/08/2025
Pizza,44,21/07/2025
Bean Hotpot,17,13/12/2031
Glazed Yams,99,27/10/2027
Carp Surprise,56,03/04/2034
Hashbrowns,39,03/07/2033
Pancakes,18,14/09/2033
Salmon Dinner,84,17/08/2031
Fish Taco,85,29/10/2030
Crispy Bass,82,18/05/2024
Pepper Poppers,39,11/08/2030
Bread,44,07/12/2027
Trout Soup,76,19/01/2034
Chocolate Cake,32,19/10/2028
Pink Cake,66,08/06/2031
Rhubarb Pie,53,24/03/2025
Cookie,99,08/11/2029
Spaghetti,10,18/08/2033
Fried Eel,73,12/09/2031
Spicy Eel,51,26/06/2032
Sashimi,34,10/03/2033
Maki Roll,87,27/12/2030
Tortilla,85,30/10/2026
Red Plate,27,25/07/2026
Eggplant Parmesan,40,10/08/2035
Rice Pudding,46,06/02/2027
Ice Cream,3,29/07/2025
Blueberry Tart,25,02/03/2032
Autumn's Bounty,8,06/10/2028
Pumpkin Soup,10,04/09/2034
Super Meal,17,04/04/2032
Cranberry Sauce,26,06/12/2027
Stuffing,19,12/11/2030
Farmer's Lunch,37,27/06/2034
Survival Burger,26,12/02/2030
Dish O' The Sea,23,02/01/2034
Miner's Treat,68,18/12/2032
Roots Platter,33,25/10/2024
Algae Soup,62,15/09/2035
Pale Broth,26,04/01/2035
Plum Pudding,58,09/01/2035
Artichoke Dip,53,07/05/2032
Stir Fry,53,16/03/2025
Roasted Hazelnuts,18,03/06/2031
Pumpkin Pie,36,25/05/2026
Radish Salad,19,24/12/2029
Fruit Salad,68,09/10/2026
Blackberry Cobbler,75,06/03/2034
Cranberry Candy,50,06/08/2032
Bruschetta,20,18/08/2033
Coleslaw,63,27/04/2030
Fiddlehead Risotto,27,16/05/2033
Poppyseed Muffin,59,13/10/2035
Chowder,87,25/04/2033
Lobster Bisque,59,11/06/2028
Escargot,74,15/11/2027
Fish Stew,91,27/01/2028
Maple Bar,73,11/10/2031
Crab Cakes,44,15/11/2026
